TC ID,Test case name,Input length type,Input,Expected output,Actual output,Status,Accuracy justification/ Description of issue type,What is covered by the test
Pos_Fun_0001,Family noun - mother,S,ammaa,අම්මා,අම්මා,Pass,Correct long-vowel handling: 'aa' → 'ා'. Spelling correct.,Daily language usage → Common nouns → Vowel length (aa) → S (≤30) → Accuracy validation
Pos_Fun_0002,Family noun - father,S,thaththaa,තාත්තා,තත්තා,Fail,Long vowel missing: expected 'තා' but output lost vowel length; meaning/pronunciation changes.,Daily language usage → Common nouns → Vowel length (aa) → S (≤30) → Accuracy failure
Pos_Fun_0003,Pronoun - I,S,mama,මම,,Fail,Basic consonant-vowel mapping correct; word preserved.,Daily language usage → Pronouns → S (≤30) → Basic mapping → Accuracy validation
Pos_Fun_0004,Pronoun - we,S,api,අපි,අපි,Pass,Correct short vowel consonant mapping.,Daily language usage → Pronouns → S (≤30) → Basic mapping → Accuracy validation
Pos_Fun_0005,Imperative verb - read,S,kiyawanna,කියවන්න,කියwඅන්න,Fail,Mixed-script corruption: unexpected 'w' inserted; breaks Sinhala orthography.,Grammatical forms → Verbs/Imperatives → Mixed-script corruption → S (≤30) → Accuracy failure
Pos_Fun_0006,Simple adjective,S,lassanai,ලස්සනයි,ලස්සනෛ,Fail,Wrong vowel modifier: 'ai' mapped to 'ෛ' incorrectly; changes spelling/meaning.,Grammatical forms → Adjectives → Vowel modifier (ai/ෛ) → S (≤30) → Accuracy failure
Pos_Fun_0007,Plural group,S,api okkoma yamu,අපි ඔක්කොම යමු,අපි ඔක්කොම යමු,Pass,Multi-word sentence preserved with correct spacing and words.,Sentence structures → Simple multi-word → Spacing correctness → S (≤30) → Accuracy validation
Pos_Fun_0008,Yes/No question,S,oyata therunawada?,ඔයාට තේරෙනවද?,ඔයට තෙරුනwඅඩ?,Fail,Question form corrupted + mixed-script 'w'; incorrect characters and word forms.,Sentence structures → Interrogative + punctuation → Mixed-script corruption → S (≤30) → Accuracy failure
Pos_Fun_0009,WH question location,S,koheda?,කොහෙද?,කොහෙඩ?,Fail,Wrong consonant selection ('ද' vs 'ඩ'); phonetic mapping error.,Character mapping → Dental vs retroflex (ද/ඩ) → S (≤30) → Phonetic accuracy failure
Pos_Fun_0010,Compound with saha,S,ammaa saha thaththaa,අම්මා සහ තාත්තා,අම්මා සහ තත්තා,Fail,Second noun loses long vowel again; partial correctness but meaning/pronunciation reduced.,Sentence structures → Compound (‘saha’) → Vowel length issue → S (≤30) → Accuracy failure
Pos_Fun_0011,Cause/effect (nisa),M,vassa nisa api ada yanne nae,වැස්ස නිසා අපි අද යන්නේ නෑ,වස්ස නිස අපි අඩ යන්නෙ නැ,Fail,Multiple errors: missing diacritics; wrong letters (අද→අඩ); shortened forms; meaning degraded.,Sentence structures → Cause/effect → Multi-error mapping → M (31–299) → Accuracy failure
Pos_Fun_0012,Conditional (thibboth),M,salli thibboth api yamu,සල්ලි තිබ්බොත් අපි යමු,සල්ලි තිබ්බොත් අපි යමු,Pass,Conditional phrase converted correctly; spacing intact.,Grammatical forms → Conditional → M (31–299) → Accuracy validation
Pos_Fun_0013,Future tense,S,heta ennam,හෙට එන්නම්,හෙට එන්නම්,Pass,Future suffix '-nnam' preserved correctly; conjunct characters OK.,Grammatical forms → Future tense → Conjunct handling → S (≤30) → Accuracy validation
Pos_Fun_0014,Past action,S,api giya,අපි ගියා,අපි ගිය,Fail,Final vowel dropped (ගියා→ගිය); tense/aspect changes.,Grammatical forms → Past tense completion → Final vowel handling → S (≤30) → Accuracy failure
Pos_Fun_0015,Negation,S,mata epa nae,මට එපා නෑ,මට එප නැ,Fail,Negation + vowel signs missing; output becomes unnatural and incomplete.,Grammatical forms → Negation (නෑ) → Vowel sign loss → S (≤30) → Accuracy failure
Pos_Fun_0016,Numbers + suffix,S,mata 100k dhenna,මට 100ක් දෙන්න,මට 100ක් දෙන්න,Pass,Digits preserved; Sinhala suffix 'ක්' attached correctly.,Formatting → Numbers in text → Numeric token handling → S (≤30) → Accuracy validation
Pos_Fun_0017,Time query,S,dan welava kiyada?,දැන් වෙලාව කීයද?,ඩන් wඑලව කියඩ?,Fail,Severe corruption: wrong letters + mixed-script 'w'; question form broken.,Daily language usage → Time reference → Mixed-script corruption → S (≤30) → Accuracy failure
Pos_Fun_0018,Direction command,S,dakunata harenna,දකුණට හැරෙන්න,ඩකුනට හරෙන්න,Fail,Wrong consonants (ද→ඩ) and missing vowel marks; command meaning degraded.,Daily language usage → Commands → Consonant accuracy → S (≤30) → Accuracy failure
